run,pipes,stages,samples,max_copy,scheduler,buffer,time
6,6,3,200000000,512,smoln,circ,5.264312987
6,6,3,200000000,512,smoln,slab,2.436394682
6,6,5,200000000,512,flow,circ,4.04537653
6,6,5,200000000,512,flow,slab,1.414211174
6,6,5,200000000,512,smol1,circ,14.669790229
6,6,5,200000000,512,smol1,slab,5.76770619
6,6,5,200000000,512,smoln,circ,7.155705947
6,6,5,200000000,512,smoln,slab,3.764998063
6,6,7,200000000,512,flow,circ,4.990363703
6,6,7,200000000,512,flow,slab,2.004825901
6,6,7,200000000,512,smol1,circ,19.187259446
6,6,7,200000000,512,smol1,slab,8.467782506
6,6,7,200000000,512,smoln,circ,9.02724691
6,6,7,200000000,512,smoln,slab,5.130459412
6,6,9,200000000,512,flow,circ,6.253970893
6,6,9,200000000,512,flow,slab,2.623999459
6,6,9,200000000,512,smol1,circ,23.454612273
6,6,9,200000000,512,smol1,slab,11.062653105
6,6,9,200000000,512,smoln,circ,10.775128163
6,6,9,200000000,512,smoln,slab,6.434687115
